label;message;message_clean
8;Madame,Monsieur, je me permet de vous envoyer ce courriel, car je viens de m'apercevoir que sur mes allocations chomâge j'ai un prélèvement de 0000€ (prélèvement à la source) alors que je ne suis pas imposable, et mon époux qui est travailleur frontalier continue à payer ces impôts mensuellements étant donné que ces sources de revenus sont en suisse? Est-ce normal où dois-je éffectué une démarche pour cela? Cordialement. XXXXX-XXXXX XXXXX;permet envoyer courriel viens apercevoir allocations chomâge prélèvement prélèvement source alors imposable époux travailleur frontalier continue payer impôts mensuellements donné sources revenus suisse normal où dois éffectué démarche
8;je désire connaitre quel est le montant de mon impot sur le revenu concernant mon épouse et moi meme . le mois de décembre 0000 et le mois de janvier 0000 mon épouse a eu un retrait sur sa pension et moi un retrait sur ma pension de janvier 0000 alors que j'ai demandé que tout soit retiré sur ma pension de la meme façon que lorsque j'était mensualisé. j'avoue que ne reçevant aucune feuille de salaire de la part de nos caisses de retraite il nous ait très difficile de pouvoir faire une estimation. dans l'attente d'une réponse de votre part agréez , Madame, Monsieur mes salutations respectueuses. XXXXX XXXXX;désire connaitre quel montant impot revenu concernant épouse meme mois décembre mois janvier épouse retrait pension retrait pension janvier alors demandé tout retiré pension meme façon lorsque mensualisé avoue reçevant aucune feuille salaire part caisses retraite très difficile pouvoir estimation attente réponse part agréez salutations respectueuses
8;Bonjour, Je fais suite du dernier message envoyé concernant nôtre taux de prélèvement à la source qui s’appliquera en septembre 0000. En effet nous sommes imposable de la somme de 0000€ soit un taux de 0000,0000%. Mais sur quel montant sera calculé ce taux? Nous sommes pacsés donc avec une déclaration commune, ce taux sera prélevé sur quel salaire? Et si nous optons pour le taux individualisé comment cela se passe? XXXXX sera prélevé sur son salaire? Merci pour votre réponse. Cordialement.;fais suite dernier message envoyé concernant nôtre taux prélèvement source appliquera septembre effet imposable somme taux quel montant calculé taux pacsés déclaration commune taux prélevé quel salaire optons taux individualisé comment passe prélevé salaire réponse
8;"Bonjour, Je me permets de vous contacter afin d'obtenir une réponse sur ma déclaration de revenus. Nous avons effectué notre déclaration commune avec ma conjointe (nous ne l'avons pas encore validée), et on nous informe un taux pour le prélèvement à la source pour le foyer de 0000,0000% ou bien, si on le souhaite, un taux individualisé de 0000,0000% pour ma conjointe et de 0000,0000% pour le mien. Actuellement je disposais d'un taux individuel de 0000,0000% comment cela se fait t-il que mon taux individuel augmente de 0000,0000% alors que je n'ai pas déclaré plus que l'XXXXX́e passée ? Ci-dessous extrait du résumé de déclaration : ""Vous venez de signaler un changement de situation de famille au titre de l'XXXXX́e 0000. Cet événement impacte votre situation au regard du prélèvement à la source. En conséquence, le taux de prélèvement à la source qui sera transmis aux organismes vous versant des revenus est de : 0000,0000 % . Il est applicable immédiatement. Après avoir signé votre déclaration, vous pourrez opter, si vous le souhaitez, pour un taux individualisé, soit 0000,0000 % pour Madame XXXXX XXXXX et 0000,0000 % pour Monsieur XXXXX XXXXX XXXXX XXXXX."" Dans l'attente de vous lire afin de pouvoir valider notre déclaration commune, Cordialement, Mr XXXXX XXXXX";permets contacter afin obtenir réponse déclaration revenus effectué déclaration commune conjointe encore validée informe taux prélèvement source foyer bien souhaite taux individualisé conjointe mien actuellement disposais taux individuel comment fait taux individuel augmente alors déclaré plus passée ci dessous extrait résumé déclaration venez signaler changement situation famille titre cet événement impacte situation regard prélèvement source conséquence taux prélèvement source transmis organismes versant revenus applicable immédiatement après signé déclaration pourrez opter souhaitez taux individualisé attente lire afin pouvoir valider déclaration commune
8;Madame, Monsieur, Après avoir déclaré nos revenus pour 0000, M. XXXXX XXXXX et moi-même (PACS signé le 0000/0000/0000) constatons que nos taux de prélèvement à la source auraient changé : le miens passant à 0000,0000 % et celui de mon compagnon également. Pourriez-vous nous expliquer pourquoi le taux de M. XXXXX connaît une forte augmentation alors que le miens ne baisse presque pas ? Je vous remercie pour la vérification que vous pourrez réaliser et me tiens à votre disposition pour toute question. Bien cordialement, XXXXX XXXXX;après déclaré revenus pacs signé constatons taux prélèvement source changé miens passant celui compagnon également pourriez expliquer pourquoi taux connaît forte augmentation alors miens baisse presque vérification pourrez réaliser tiens disposition toute question bien
1;"Bonjour suite a ma derniere demande et votre reponse Si vous ne percevez plus de revenus fonciers, vous devez le signaler afin que les acomptes ne soient plus prélevés. Vous pouvez effectuer cette démarche, depuis votre espace particulier, via la rubrique ""Gérer son prélèvement à la source/Actualiser suite à une hausse ou une baisse de vos revenus"". Vous y indiquerez l'ensemble de vos revenu de 0000 et ceux de 0000. L'absence de revenus fonciers entraînera un recalcul de votre taux ainsi que la suppression de vos acomptes. Le taux et els acomptes sont calculés d'après vos revenus de 0000. Nous n'avons aucune information concernant vos revenus de 0000 et de 0000. Ainsi, en cas de variation de vos revenus, c'est à vous de le signaler depuis votre espace particulier, via la rubrique ""Gérer son prélèvement à la source"". y t il possibilite d avoir un lien direct ne trouvant que la declaration 0000 cordialement XXXXX.XXXXX";suite derniere demande reponse percevez plus revenus fonciers devez signaler afin acomptes plus prélevés pouvez effectuer démarche depuis espace particulier via rubrique gérer prélèvement source actualiser suite hausse baisse revenus indiquerez ensemble revenu ceux absence revenus fonciers entraînera recalcul taux ainsi suppression acomptes taux els acomptes calculés après revenus aucune information concernant revenus ainsi cas variation revenus signaler depuis espace particulier via rubrique gérer prélèvement source possibilite lien direct trouvant declaration
8;A l'attention de Madame XXXXX XXXXX Bonjour, J'ai par erreur rattaché mon fils XXXXX XXXXX avec moi. est-il possible de faire une déclaration papier à son nom ? De plus, je souhaiteria modifier mon taux concernant le prélèvement à la source, mais c'est impossible. J'étais avant un taux beaucoup plus bas, je me suis XXXXX́ le 0000/0000/0000, mais le taux de juin est haut et cela me fait des mensualités élevées. Avez vous la possibilité de modifier mon taux pour le 0000/0000 ? J'ai fait une simulation, soit pour un taux commun (avec mon épouse) pour un taux à 0000.0000 % soit pour mon un taux à 0000.0000 % et mon épouse au taux à 0000%. Pouvez-vous me conseiller sur le choix du taux à prendre pour modification ? Vous remerciant par avance de votre réponse. Bien cordialement, XXXXX XXXXX;attention erreur rattaché fils possible déclaration papier nom plus souhaiteria modifier taux concernant prélèvement source impossible avant taux beaucoup plus bas taux juin haut fait mensualités élevées possibilité modifier taux fait simulation taux commun épouse taux taux épouse taux pouvez conseiller choix taux prendre modification remerciant avance réponse bien
1;bonjour j'ai changé d'employeur depuis le 0000er decembre0000. ma periode d'essai a été rompue par mon employeur, je finis donc le 0000/0000/0000 et serai au chomage à partir du 0000er mars 0000 comment ca va se passer pour les impots ,c'est moi qui payait pour notre couple ? reponse urgente merci XXXXX XXXXX mail XX@XX 0000;changé employeur depuis decembre periode essai rompue employeur finis chomage partir mars comment ca va passer impots payait couple reponse urgente mail
1;Madame, Monsieur, Bonjour, nous sommes XXXXX́s sans enfant à charge et salariés tous les deux. nous payons actuellement nos impôts à la source avec un taux individualisé de 0000.0000% pour madame et de 0000.0000% pour monsieur. cette XXXXX́e je vais déclarer les frais réels car je fais environ 0000km par jour pour mon trajet domicile/travail. En réalisant une simulation le coût de mes frais a été estimé à 0000 euros environ. En simulant notre impôt le montant à payer est de 0000 mais comment cela se passe car nous payons depuis le début de l'XXXXX́e. Nous allons déclarer nos revenus et , si mon impôt est à 0000, allons nous bénéficier d'un crédit d'impôt en fin d'XXXXX́e ? notre taux changera t'il l'XXXXX́e prochaine ? merci à vous pour vos réponses cordialement;xxxxx́s sans enfant charge salariés tous deux payons actuellement impôts source taux individualisé vais déclarer frais réels fais environ km jour trajet domicile travail réalisant simulation coût frais estimé euros environ simulant impôt montant payer comment passe payons depuis début allons déclarer revenus impôt allons bénéficier crédit impôt fin taux changera prochaine réponses
8;Madame, Monsieur bonjour, Je suis désolé mais je ne comprends pas votre dernière réponse. Jusqu'à présent la déclaration des revenus était faite au niveau du couple et l'imposition se faisait donc sur 0000 mois avec prélèvement sur mon seul compte courant bancaire par les services fiscaux locaux afin de ne pas obérer la très faible retraite de mon épouse. Aussi, ai-je demandé en mai, lorsque la question m'a été posé, de conserver la déclaration en couple XXXXX́ avec le taux qui y était applicable et non l'individualisation que je ne veux absolument pas afin justement qu'aucun prélèvement ne soit fait sur sa retraite. Or votre nouveau type de prélèvement à la source engendre justement le contraire de ce qui était avant et qui avait été demandé. Si d’aventure l'addition des deux prélèvements s'avère identique à celle payée l'an passé, puisque nos revenus ont plus tendance à baisser qu'à progresser, nous arriverons donc à une sorte d'individualisation de prélèvement sur nos retraites personnelles, ce que justement je souhaitais éviter et non sur ma seule pension qui servait de support financier de notre couple. Pourquoi changer un système qui donnait jusqu'à présent satisfaction par un nouveau qui n'engendre que des questionnements, voire plus. Vous voudrez donc bien m'indiquer la marche à suivre pour que de nouveau ma seule pension soit impactée par le prélèvement de la quotité mensuelle relative à l'ensemble de nos revenus annuels. Très cordialement. M XXXXX.;désolé comprends dernière réponse jusqu présent déclaration revenus faite niveau couple imposition faisait mois prélèvement seul compte courant bancaire services fiscaux locaux afin obérer très faible retraite épouse aussi demandé mai lorsque question posé conserver déclaration couple taux applicable non individualisation veux absolument afin justement aucun prélèvement fait retraite or nouveau type prélèvement source engendre justement contraire avant demandé aventure addition deux prélèvements avère identique celle payée an passé puisque revenus plus tendance baisser progresser arriverons sorte individualisation prélèvement retraites personnelles justement souhaitais éviter non seule pension servait support financier couple pourquoi changer système donnait jusqu présent satisfaction nouveau engendre questionnements voire plus voudrez bien indiquer marche suivre nouveau seule pension impactée prélèvement quotité mensuelle relative ensemble revenus annuels très
